date,close,high,low,open,Volume,daily_return,ma_7,52w_high,52w_low
,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS,,,,
2025-07-10,1591.43701171875,1614.1886858160015,1582.868118202301,1614.1886858160015,5330179,-0.014094804589557678,1601.9193289620537,,
2025-07-11,1570.85205078125,1582.8680505457567,1539.433016356687,1555.2902357933656,11391755,0.010005730525239372,1599.7243477957588,,
2025-07-14,1546.623046875,1567.7988696310574,1536.2813659941348,1567.7988696310574,9173426,-0.01350672153567799,1592.9143240792412,,
2025-07-15,1561.6922607421875,1579.4208563061295,1540.4179701114037,1541.5013602388092,7614807,0.013098204791885714,1585.161586216518,,
2025-07-16,1583.6561279296875,1587.6942841349517,1554.6993967165145,1555.1918577227598,6223491,0.018302738704282735,1582.474155970982,,
2025-07-17,1559.6240234375,1585.7244570472844,1556.2752645133157,1573.9053927711557,7374814,-0.009073842302878603,1574.7073625837054,,
2025-07-18,1562.1846923828125,1575.1857343566385,1556.176692489401,1568.0942241264431,5161833,-0.0037686075573186402,1568.0098876953125,,
2025-07-21,1560.4119873046875,1565.041072656143,1543.1758521432762,1556.1767745731315,3682661,0.002721549891218316,1563.5777413504463,,
2025-07-22,1547.2139892578125,1561.889351060241,1541.4029254290974,1541.4029254290974,8473741,0.003769983651158173,1560.2008754185267,,
2025-07-23,1550.7596435546875,1567.897309898412,1526.629055261839,1552.5325511946266,8035026,-0.0011419455512059636,1560.7918178013392,,
2025-07-24,1529.0914306640625,1558.1466301517212,1524.8562179010848,1556.1767861186595,14169664,-0.017405063291139285,1556.134556361607,,
2025-07-25,1492.84619140625,1526.1366022975346,1488.512630894258,1520.12860228797,10851259,-0.01794743605288178,1543.1617082868304,,
2025-07-28,1493.1417236328125,1496.392014262957,1460.14683725966,1491.0734115180542,6439855,0.0013871296334448014,1533.6642368861608,,
2025-07-29,1490.8763427734375,1494.3235696797126,1473.5417400906863,1490.0884773327002,7070448,0.0005287373553465622,1523.477329799107,,
2025-07-30,1496.0965576171875,1498.7557989957106,1483.2925712781332,1496.9830114866083,5719051,-0.0005921602734426073,1514.2894112723213,,
2025-07-31,1486.247314453125,1504.0743788045277,1474.428250322285,1486.936711768862,6851407,-0.00046363595052878107,1505.5798863002233,,
2025-08-01,1447.4412841796875,1476.1024890867666,1443.4031282013243,1471.3749358302919,8702978,-0.01626618142512988,1490.8201206752233,,
2025-08-04,1458.177001953125,1460.4423706154291,1429.1218033326475,1439.4634841975633,8610216,0.01300034211426605,1480.689488002232,,
2025-08-05,1438.2816162109375,1456.4040844682859,1433.0614816224124,1456.4040844682859,10213323,-0.012443296781857523,1472.8945486886162,,
